E (eV)  dos(E)      O 2p(E)    Ti 3d(E)   
 4.100  0.000E+00  0.000E+00  0.000E+00
 4.200  0.000E+00  0.000E+00  0.000E+00
 4.300  0.000E+00  0.000E+00  0.000E+00
 4.400  0.145E-13  0.369E-14  0.320E-20
 4.500  0.369E-09  0.938E-10  0.117E-15
 4.600  0.129E-05  0.329E-06  0.655E-12
 4.700  0.630E-03  0.160E-03  0.604E-09
 4.800  0.436E-01  0.111E-01  0.990E-07
 4.900  0.456E+00  0.116E+00  0.339E-05
 5.000  0.883E+00  0.225E+00  0.337E-04
 5.100  0.634E+00  0.162E+00  0.154E-03
 5.200  0.475E+00  0.122E+00  0.500E-03
 5.300  0.449E+00  0.115E+00  0.399E-02
 5.400  0.691E+00  0.169E+00  0.631E-01
 5.500  0.147E+01  0.343E+00  0.248E+00
 5.600  0.229E+01  0.523E+00  0.514E+00
 5.700  0.335E+01  0.742E+00  0.950E+00
 5.800  0.289E+01  0.647E+00  0.798E+00
 5.900  0.197E+01  0.450E+00  0.509E+00
 6.000  0.192E+01  0.449E+00  0.443E+00
 6.100  0.156E+01  0.370E+00  0.346E+00
 6.200  0.156E+01  0.381E+00  0.310E+00
 6.300  0.164E+01  0.408E+00  0.293E+00
 6.400  0.173E+01  0.427E+00  0.284E+00
 6.500  0.274E+01  0.681E+00  0.383E+00
 6.600  0.339E+01  0.879E+00  0.317E+00
 6.700  0.585E+01  0.159E+01  0.281E+00
 6.800  0.628E+01  0.172E+01  0.293E+00
 6.900  0.992E+01  0.261E+01  0.783E+00
 7.000  0.150E+02  0.397E+01  0.120E+01
 7.100  0.860E+01  0.239E+01  0.483E+00
 7.200  0.203E+01  0.536E+00  0.172E+00
 7.300  0.995E+00  0.247E+00  0.116E+00
 7.400  0.156E+01  0.404E+00  0.120E+00
 7.500  0.348E+01  0.906E+00  0.293E+00
 7.600  0.655E+01  0.169E+01  0.749E+00
 7.700  0.596E+01  0.157E+01  0.632E+00
 7.800  0.408E+01  0.111E+01  0.349E+00
 7.900  0.383E+01  0.108E+01  0.252E+00
 8.000  0.355E+01  0.103E+01  0.192E+00
 8.100  0.375E+01  0.112E+01  0.142E+00
 8.200  0.489E+01  0.152E+01  0.103E+00
 8.300  0.603E+01  0.193E+01  0.596E-01
 8.400  0.350E+01  0.111E+01  0.326E-01
 8.500  0.161E+01  0.504E+00  0.253E-01
 8.600  0.349E+01  0.108E+01  0.672E-01
 8.700  0.820E+01  0.252E+01  0.171E+00
 8.800  0.748E+01  0.230E+01  0.177E+00
 8.900  0.611E+01  0.188E+01  0.155E+00
 9.000  0.605E+01  0.188E+01  0.140E+00
 9.100  0.702E+01  0.222E+01  0.103E+00
 9.200  0.730E+01  0.234E+01  0.463E-01
 9.300  0.432E+01  0.140E+01  0.661E-02
 9.400  0.212E+01  0.699E+00  0.218E-03
 9.500  0.312E+00  0.103E+00  0.256E-05
 9.600  0.741E-02  0.245E-02  0.173E-07
 9.700  0.253E-04  0.837E-05  0.305E-10
 9.800  0.121E-07  0.401E-08  0.922E-14
 9.900  0.802E-12  0.265E-12  0.421E-18
10.000  0.723E-17  0.239E-17  0.268E-23
10.100  0.000E+00  0.000E+00  0.000E+00
10.200  0.000E+00  0.000E+00  0.000E+00
10.300  0.000E+00  0.000E+00  0.000E+00
10.400  0.102E-14  0.394E-19  0.945E-15
10.500  0.569E-10  0.387E-14  0.529E-10
10.600  0.439E-06  0.536E-10  0.408E-06
10.700  0.472E-03  0.106E-06  0.439E-03
10.800  0.728E-01  0.309E-04  0.677E-01
10.900  0.171E+01  0.137E-02  0.159E+01
11.000  0.705E+01  0.107E-01  0.658E+01
11.100  0.725E+01  0.261E-01  0.678E+01
11.200  0.358E+01  0.411E-01  0.326E+01
11.300  0.180E+01  0.402E-01  0.158E+01
11.400  0.208E+01  0.619E-01  0.177E+01
11.500  0.153E+01  0.487E-01  0.130E+01
11.600  0.171E+01  0.657E-01  0.142E+01
11.700  0.183E+01  0.741E-01  0.151E+01
11.800  0.135E+01  0.571E-01  0.112E+01
11.900  0.195E+01  0.937E-01  0.158E+01
12.000  0.152E+01  0.714E-01  0.123E+01
12.100  0.176E+01  0.925E-01  0.142E+01
12.200  0.185E+01  0.988E-01  0.148E+01
12.300  0.187E+01  0.106E+00  0.149E+01
