E (eV)  dos(E)      ldos(E)    ldos(E)  
 6.011  0.269E+01  0.224E-02  0.130E+01
 6.111  0.377E+01  0.242E-02  0.181E+01
 6.211  0.341E+01  0.739E-03  0.164E+01
 6.311  0.714E+00  0.307E-04  0.343E+00
 6.411  0.248E-01  0.173E-06  0.119E-01
 6.511  0.126E-03  0.132E-09  0.606E-04
 6.611  0.897E-07  0.136E-13  0.431E-07
 6.711  0.878E-11  0.189E-18  0.422E-11
 6.811  0.117E-15  0.521E-30  0.564E-16
 6.911  0.000E+00  0.000E+00  0.000E+00
 7.011  0.000E+00  0.000E+00  0.000E+00
 7.111  0.179E-14  0.615E-15  0.207E-15
 7.211  0.777E-10  0.267E-10  0.902E-11
 7.311  0.467E-06  0.160E-06  0.543E-07
 7.411  0.391E-03  0.134E-03  0.457E-04
 7.511  0.468E-01  0.160E-01  0.549E-02
 7.611  0.836E+00  0.285E+00  0.992E-01
 7.711  0.259E+01  0.875E+00  0.317E+00
 7.811  0.227E+01  0.747E+00  0.305E+00
 7.911  0.154E+01  0.481E+00  0.237E+00
 8.011  0.130E+01  0.384E+00  0.224E+00
 8.111  0.109E+01  0.303E+00  0.209E+00
 8.211  0.108E+01  0.283E+00  0.225E+00
 8.311  0.933E+00  0.226E+00  0.216E+00
 8.411  0.103E+01  0.234E+00  0.257E+00
 8.511  0.947E+00  0.186E+00  0.265E+00
 8.611  0.162E+01  0.201E+00  0.576E+00
 8.711  0.436E+01  0.180E+00  0.192E+01
 8.811  0.511E+01  0.125E+00  0.234E+01
 8.911  0.215E+01  0.206E-01  0.101E+01
 9.011  0.188E+01  0.591E-03  0.901E+00
 9.111  0.137E+01  0.264E-05  0.654E+00
 9.211  0.121E+01  0.126E-06  0.574E+00
 9.311  0.192E+01  0.964E-04  0.903E+00
 9.411  0.289E+01  0.103E-01  0.122E+01
 9.511  0.765E+01  0.157E+00  0.299E+01
 9.611  0.946E+01  0.379E+00  0.361E+01
 9.711  0.691E+01  0.240E+00  0.271E+01
 9.811  0.219E+01  0.358E+00  0.625E+00
 9.911  0.509E+00  0.202E+00  0.449E-01
10.011  0.987E-01  0.398E-01  0.859E-02
